,columnName,measureName,unit,category,dataSource,context
52,Employment rate (Total): % of working age population,Employment rate,% of working age population,Labor Market,Economic Indicators,Total
53,Employment rate (Total): Thousand persons,Employment rate,Thousand persons,Labor Market,Economic Indicators,Total
54,Employment rate (Women): % of working age population,Employment rate,% of working age population,Labor Market,Economic Indicators,Women
55,Employment rate (Women): Thousand persons,Employment rate,Thousand persons,Labor Market,Economic Indicators,Women
56,Exchange rates (Total): National currency units/US dollar,Exchange rates,National currency units/US dollar,Currency & Purchasing Power,Economic Indicators,Total
57,GDP per hour worked (Total): 2015=100,GDP per hour worked,2015=100,Economic Output,Economic Indicators,Total
58,GDP per hour worked (Total): US dollars,GDP per hour worked,US dollars,Economic Output,Economic Indicators,Total
59,Gender wage gap (Employees): Percentage,Gender wage gap,Percentage,Other Economic,Economic Indicators,Employees
60,Gender wage gap (Self-employed): Percentage,Gender wage gap,Percentage,Other Economic,Economic Indicators,Self-employed
61,Gross domestic product (GDP) (Total): Million US dollars,Gross domestic product,Million US dollars,Other Economic,Economic Indicators,GDP
62,Gross domestic product (GDP) (Total): US dollars/capita,Gross domestic product,US dollars/capita,Other Economic,Economic Indicators,GDP
63,Purchasing power parities (PPP) (Total): National currency units/US dollar,Purchasing power parities,National currency units/US dollar,Currency & Purchasing Power,Economic Indicators,PPP
64,Trust in government (Total): Percentage,Trust in government,Percentage,Other Economic,Economic Indicators,Total
