Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Australia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,1.33649
Denmark,GDP per hour worked,Total,US dollars,2001,59.743007
Denmark,Gross domestic product (GDP),Total,Million US dollars,2001,157794.793
Denmark,Employment rate,Men,Thousand persons,2022,1574.725
Denmark,GDP per hour worked,Total,2015=100,2022,106.085182
Denmark,Average wages,Total,US dollars,2022,64126.65162
Australia,Exchange rates,Total,National currency units/US dollar,2002,1.840563
Denmark,Gross domestic product (GDP),Total,Million US dollars,2022,460165.318
Denmark,Employment rate,Women,% of working age population,2022,74.525
Denmark,Employment rate,Total,% of working age population,2022,76.775
Denmark,Employment rate,Men,% of working age population,2022,78.975
Denmark,Employment rate,Women,Thousand persons,2022,1419.725
Denmark,Employment rate,Total,Thousand persons,2022,2994.425
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2002,30639.95369
Austria,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Austria,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.899797
Denmark,GDP per hour worked,Total,US dollars,2000,59.954667
Denmark,Employment rate,Men,Thousand persons,2000,1458
Denmark,GDP per hour worked,Total,2015=100,2000,85.621617
Denmark,Average wages,Total,US dollars,2000,52018.88005
Belgium,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2000,28670.44087
Denmark,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,14.558
Denmark,Gender wage gap,Self-employed,Percentage,2007,17.15914536
Denmark,Gross domestic product (GDP),Total,Million US dollars,2007,213078.339
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2007,39025.33681
Denmark,GDP per hour worked,Total,2015=100,2007,92.844194
Denmark,Employment rate,Men,Thousand persons,2006,1483
Denmark,GDP per hour worked,Total,2015=100,2006,92.67329
Denmark,Average wages,Total,US dollars,2006,57991
Belgium,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.8733
Denmark,Gender wage gap,Self-employed,Percentage,2006,12.00833225
Denmark,Gross domestic product (GDP),Total,Million US dollars,2006,202995.977
Denmark,Gender wage gap,Employees,Percentage,2006,10.17206126
Denmark,Employment rate,Women,% of working age population,2006,73.45
Denmark,Employment rate,Total,% of working age population,2006,77.375
Denmark,Employment rate,Men,% of working age population,2006,81.225
Denmark,Employment rate,Women,Thousand persons,2006,1305
Denmark,Employment rate,Total,Thousand persons,2006,2787
Denmark,Employment rate,Women,% of working age population,2005,71.9
Denmark,Employment rate,Total,Thousand persons,2005,2732
Denmark,Employment rate,Total,% of working age population,2005,75.9
Denmark,Employment rate,Men,% of working age population,2005,79.85
Denmark,Employment rate,Women,Thousand persons,2005,1277
Denmark,Employment rate,Men,Thousand persons,2005,1457
Denmark,GDP per hour worked,Total,2015=100,2005,91.467821
Denmark,Air pollution exposure,Exposure to PM2.5,% of population,2005,98.039
Denmark,Average wages,Total,US dollars,2005,57030.2442
Brazil,Exchange rates,Total,National currency units/US dollar,2002,2.920363
Denmark,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,13.083
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2008,41282.99547
Brazil,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.867348
Denmark,GDP per hour worked,Total,US dollars,2008,64.044269
Denmark,Employment rate,Men,Thousand persons,2008,1498.05
Denmark,GDP per hour worked,Total,2015=100,2008,91.462002
Denmark,Average wages,Total,US dollars,2008,59414
Bulgaria,Exchange rates,Total,National currency units/US dollar,2002,2.076975
Denmark,Gender wage gap,Employees,Percentage,2004,10.18220538
Denmark,Employment rate,Women,Thousand persons,2004,1268
Denmark,Employment rate,Total,Thousand persons,2004,2720
Denmark,Air pollution exposure,Exposure to PM2.5,% of population,2010,97.494
Denmark,Trust in government,Total,Percentage,2010,58.66894372
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2010,43000.91009
Bulgaria,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.547674
Denmark,Employment rate,Women,% of working age population,2021,72.55
Denmark,Employment rate,Total,% of working age population,2021,75.55
Denmark,Employment rate,Total,Thousand persons,2021,2900.125
Denmark,Employment rate,Men,% of working age population,2021,78.45
Denmark,Employment rate,Women,Thousand persons,2021,1362.725
Denmark,Employment rate,Men,Thousand persons,2021,1537.375
Denmark,GDP per hour worked,Total,2015=100,2021,107.513663
Denmark,Average wages,Total,US dollars,2021,66503.04779
Canada,Exchange rates,Total,National currency units/US dollar,2002,1.570343
Denmark,Trust in government,Total,Percentage,2021,65.17097161
Canada,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,1.229333
Denmark,GDP per hour worked,Total,US dollars,2009,63.453957
Denmark,Gender wage gap,Self-employed,Percentage,2009,15.07169342
Denmark,Gross domestic product (GDP),Total,Million US dollars,2009,222747.658
Denmark,Gender wage gap,Employees,Percentage,2012,6.999844876
Denmark,Employment rate,Women,% of working age population,2012,68.475
Denmark,Employment rate,Total,% of working age population,2012,71.025
Denmark,Employment rate,Men,% of working age population,2012,73.55
Denmark,Employment rate,Women,Thousand persons,2012,1253.05
Denmark,Employment rate,Total,Thousand persons,2012,2644.825
Denmark,Air pollution exposure,Exposure to PM2.5,% of population,2012,77.026
Denmark,Trust in government,Total,Percentage,2012,53.42527898
Denmark,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,10.185
Denmark,Gender wage gap,Self-employed,Percentage,2015,0.52541852
Denmark,Gross domestic product (GDP),Total,Million US dollars,2015,278748.365
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2015,49058.14234
Denmark,GDP per hour worked,Total,2015=100,2015,100
Denmark,Trust in government,Total,Percentage,2011,47.18233288
Denmark,Gender wage gap,Employees,Percentage,2011,7.947197254
Chile,Exchange rates,Total,National currency units/US dollar,2002,688.936667
Denmark,GDP per hour worked,Total,US dollars,2011,66.165566
Denmark,Air pollution exposure,Exposure to PM2.5,% of population,2011,98.991
Denmark,Trust in government,Total,Percentage,2019,63.29990317
Denmark,Gender wage gap,Employees,Percentage,2019,5.059215628
Chile,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,301.372381
Denmark,GDP per hour worked,Total,US dollars,2019,74.317394
Denmark,Air pollution exposure,Exposure to PM2.5,% of population,2019,36.413
China (People's Republic of),Purchasing power parities (PPP),Total,National currency units/US dollar,2002,2.691388
Denmark,GDP per hour worked,Total,US dollars,2017,72.180878
Denmark,Air pollution exposure,Exposure to PM2.5,% of population,2017,65.621
Denmark,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,10.288
Denmark,Gender wage gap,Self-employed,Percentage,2017,2.958868265
Denmark,Gross domestic product (GDP),Total,Million US dollars,2017,319130.165
Denmark,Air pollution exposure,Exposure to PM2.5,% of population,2018,41.147
Denmark,Trust in government,Total,Percentage,2018,63.24784592
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2018,57479.35022
China (People's Republic of),Exchange rates,Total,National currency units/US dollar,2002,8.276958
Denmark,Employment rate,Women,% of working age population,2013,68.275
Denmark,Employment rate,Total,% of working age population,2013,70.775
Denmark,Employment rate,Total,Thousand persons,2013,2636.3
Denmark,Employment rate,Men,% of working age population,2013,73.2
Denmark,Employment rate,Women,Thousand persons,2013,1250.625
Denmark,Employment rate,Men,Thousand persons,2013,1385.625
Denmark,GDP per hour worked,Total,2015=100,2013,97.054659
Denmark,Average wages,Total,US dollars,2013,61548
Colombia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,819.642123
Denmark,Trust in government,Total,Percentage,2013,39.14051067
Denmark,Gender wage gap,Employees,Percentage,2020,4.994399736
Denmark,Employment rate,Women,% of working age population,2020,71.375
Denmark,Employment rate,Total,% of working age population,2020,74.425
Denmark,Employment rate,Men,% of working age population,2020,77.35
Denmark,Employment rate,Women,Thousand persons,2020,1338.225
Denmark,Employment rate,Total,Thousand persons,2020,2852.375
Denmark,Trust in government,Total,Percentage,2020,71.57975887
Denmark,Gross domestic product (GDP),Total,US dollars/capita,2016,51967.02044
Colombia,Exchange rates,Total,National currency units/US dollar,2002,2504.680833
Denmark,GDP per hour worked,Total,US dollars,2016,70.856515
Denmark,GDP per hour worked,Total,2015=100,2016,101.19061
Denmark,Average wages,Total,US dollars,2016,63894
Costa Rica,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,168.160883
Denmark,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,9.302
Denmark,Employment rate,Men,Thousand persons,2014,1409.5
Denmark,GDP per hour worked,Total,2015=100,2014,98.592133
Denmark,Average wages,Total,US dollars,2014,62723
Costa Rica,Exchange rates,Total,National currency units/US dollar,2002,359.817527
Denmark,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,11.056
Denmark,Gender wage gap,Self-employed,Percentage,2014,5.956777573
Denmark,Gross domestic product (GDP),Total,Million US dollars,2014,270330.607
Denmark,Gender wage gap,Employees,Percentage,2014,6.323865695
Denmark,Employment rate,Women,% of working age population,2014,68.075
Denmark,Employment rate,Total,% of working age population,2014,71.1
Denmark,Employment rate,Men,% of working age population,2014,74.125
Denmark,Employment rate,Women,Thousand persons,2014,1254.4
Denmark,Employment rate,Total,Thousand persons,2014,2663.9
Denmark,Employment rate,Men,Thousand persons,2016,1462.3
Denmark,Employment rate,Women,% of working age population,2015,68.7
Denmark,Employment rate,Total,% of working age population,2015,71.975
Denmark,Employment rate,Men,% of working age population,2015,75.175
Denmark,Employment rate,Women,Thousand persons,2015,1265.775
Denmark,Employment rate,Total,Thousand persons,2015,2709.025
Denmark,Employment rate,Men,Thousand persons,2015,1443.25
Denmark,Employment rate,Women,% of working age population,2007,73.175
Denmark,Employment rate,Total,% of working age population,2007,77
Denmark,Employment rate,Men,% of working age population,2007,80.775
Denmark,Employment rate,Women,Thousand persons,2007,1311.7
Denmark,Employment rate,Total,Thousand persons,2007,2803.7
Denmark,Employment rate,Men,Thousand persons,2007,1492
Denmark,Employment rate,Women,% of working age population,2004,71.575
Denmark,Employment rate,Total,% of working age population,2004,75.675
Denmark,Employment rate,Men,% of working age population,2004,79.7
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.977
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.982
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,17.827
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,1995,92.221
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,16.246
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2000,99.979
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.978
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,17.368
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.982
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.982
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,18.628
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,17.234
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.982
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,18.413
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,17.881
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,17.14
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2012,99.978
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2011,99.978
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,16.544
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2019,99.982
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,18.145
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,18.153
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,18.151
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2013,99.978
Dominican Republic,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,18.179
Dominican Republic,Air pollution exposure,Exposure to PM2.5,% of population,2014,99.982
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2017,0
Estonia,Employment rate,Men,Thousand persons,1994,353.4
Estonia,Average wages,Total,US dollars,1994,10671.30121
Estonia,Trust in government,Total,Percentage,2022,50.84958594
Estonia,Gender wage gap,Employees,Percentage,2022,20.52092235
Estonia,Average wages,Total,US dollars,2022,34704.57152
Estonia,Average wages,Total,US dollars,1995,10186
Estonia,Average wages,Total,US dollars,1998,12637.14182
Croatia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.505088
Estonia,Gross domestic product (GDP),Total,US dollars/capita,1996,6842.858814
Estonia,Gross domestic product (GDP),Total,Million US dollars,1996,9752.442
Estonia,Average wages,Total,US dollars,1999,13189.70292
Croatia,Exchange rates,Total,National currency units/US dollar,2002,1.044752
Estonia,Gross domestic product (GDP),Total,US dollars/capita,1997,7941.22763
Estonia,Gross domestic product (GDP),Total,Million US dollars,1997,11165.366
Estonia,Employment rate,Women,Thousand persons,1997,298.3
Czechia,Exchange rates,Total,National currency units/US dollar,2002,32.738518
Estonia,GDP per hour worked,Total,US dollars,2000,21.160621
Estonia,Employment rate,Total,Thousand persons,2000,585.275
Estonia,Employment rate,Men,% of working age population,2003,66.25
Estonia,Employment rate,Total,% of working age population,2003,62.95
Czechia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,14.458321
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2004,14496.8595
Estonia,Gross domestic product (GDP),Total,Million US dollars,2004,19807.059
Estonia,Employment rate,Women,Thousand persons,2002,292.1
Estonia,Employment rate,Men,Thousand persons,2002,297.8
Estonia,Gender wage gap,Employees,Percentage,2002,25.00065194
Estonia,Employment rate,Men,% of working age population,2002,64.625
Estonia,Average wages,Total,US dollars,2006,21504
Estonia,Employment rate,Women,Thousand persons,2001,289.775
Estonia,Employment rate,Men,Thousand persons,2001,299.875
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2005,16584.41109
Estonia,Gross domestic product (GDP),Total,Million US dollars,2005,22536.556
Estonia,Employment rate,Women,% of working age population,2005,63.1
Estonia,GDP per hour worked,Total,2015=100,2005,81.218156
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2005,7.493
Estonia,Gender wage gap,Self-employed,Percentage,2005,9.0828228
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2021,45076.64382
Estonia,Employment rate,Women,% of working age population,2021,72.35
Estonia,GDP per hour worked,Total,2015=100,2021,122.809256
Estonia,Average wages,Total,US dollars,2007,25012
Denmark,Exchange rates,Total,National currency units/US dollar,2002,7.894714
Estonia,GDP per hour worked,Total,US dollars,2007,32.048907
Estonia,Employment rate,Total,Thousand persons,2007,657.6
Estonia,Employment rate,Men,Thousand persons,2009,291.275
Estonia,Employment rate,Women,Thousand persons,2009,302.6
Estonia,Employment rate,Women,Thousand persons,2010,290.425
Estonia,Employment rate,Men,Thousand persons,2010,277.55
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,8.65
Estonia,Gross domestic product (GDP),Total,Million US dollars,2010,28780.803
Estonia,Employment rate,Men,% of working age population,2010,61.825
Estonia,Employment rate,Total,% of working age population,2012,67.975
Denmark,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,8.561606
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2012,25946.94489
Estonia,Employment rate,Women,% of working age population,2012,66.275
Estonia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.486245
Estonia,GDP per hour worked,Total,US dollars,2008,30.941251
Estonia,Employment rate,Total,Thousand persons,2008,656
Estonia,Employment rate,Total,% of working age population,2020,73.975
Estonia,Exchange rates,Total,National currency units/US dollar,2002,1.061687
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2020,40115.61098
Estonia,Employment rate,Women,% of working age population,2020,72.1
Estonia,Gross domestic product (GDP),Total,Million US dollars,2011,32598.245
Estonia,Employment rate,Men,% of working age population,2011,67.8
Estonia,Employment rate,Total,% of working age population,2011,65.7
Estonia,Employment rate,Women,Thousand persons,2018,322.325
Estonia,Employment rate,Men,Thousand persons,2018,342.4
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,6.042
Estonia,Gross domestic product (GDP),Total,Million US dollars,2018,48133.366
Estonia,Employment rate,Men,% of working age population,2018,77.55
Estonia,Gross domestic product (GDP),Total,Million US dollars,2019,52516.041
Estonia,Employment rate,Men,% of working age population,2019,78.075
Estonia,Employment rate,Total,% of working age population,2019,75.55
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2013,27418.68964
Estonia,Employment rate,Women,% of working age population,2013,67.05
Estonia,GDP per hour worked,Total,2015=100,2013,98.046719
Estonia,Gender wage gap,Self-employed,Percentage,2013,-22.17424011
Estonia,Employment rate,Women,Thousand persons,2017,320.8
Estonia,Employment rate,Men,Thousand persons,2017,337.775
Estonia,Trust in government,Total,Percentage,2014,41.49858852
Estonia,Average wages,Total,US dollars,2014,26232
Finland,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,GDP per hour worked,Total,US dollars,2016,35.870628
Estonia,Employment rate,Total,Thousand persons,2016,644.625
Estonia,Average wages,Total,US dollars,2015,27434
Finland,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.998133
Estonia,GDP per hour worked,Total,US dollars,2015,34.941294
Estonia,Employment rate,Total,Thousand persons,2015,640.9
Estonia,Employment rate,Total,Thousand persons,1999,577.2
Estonia,Employment rate,Total,% of working age population,2004,63.15
Estonia,Employment rate,Women,% of working age population,2004,60.725
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2015,0
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2018,0
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2016,0
France,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.900678
Estonia,Employment rate,Total,Thousand persons,1995,631
France,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,Gross domestic product (GDP),Total,Million US dollars,1995,9302.773
Estonia,Gross domestic product (GDP),Total,US dollars/capita,1995,6424.123259
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,1995,18.552
Estonia,Employment rate,Women,Thousand persons,1995,305.8
Georgia,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.513453
Estonia,Average wages,Total,US dollars,1996,10838.19821
Georgia,Exchange rates,Total,National currency units/US dollar,2002,2.195675
Estonia,Employment rate,Total,Thousand persons,1998,604
Estonia,Employment rate,Men,Thousand persons,1997,316.6
Estonia,Average wages,Total,US dollars,1997,11838.41473
Germany,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.913257
Estonia,Employment rate,Total,Thousand persons,1997,615
Germany,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,Gross domestic product (GDP),Total,Million US dollars,2022,64971.672
Estonia,Employment rate,Men,% of working age population,2022,77.475
Estonia,GDP per hour worked,Total,US dollars,2022,40.424262
Estonia,Employment rate,Total,Thousand persons,2022,680.85
Estonia,GDP per hour worked,Total,2015=100,2022,115.69194
Estonia,Gross domestic product (GDP),Total,Million US dollars,2000,13163.079
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2000,9393.477124
Estonia,Employment rate,Women,% of working age population,2000,57.35
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2000,7.32
Estonia,Employment rate,Men,Thousand persons,2000,296.85
Estonia,Employment rate,Women,Thousand persons,2000,288.45
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,8.499
Estonia,Employment rate,Men,% of working age population,2000,63.375
Estonia,GDP per hour worked,Total,2015=100,2004,76.674982
Estonia,Gender wage gap,Self-employed,Percentage,2004,14.18298626
Estonia,Average wages,Total,US dollars,2004,18486.64097
Estonia,Average wages,Total,US dollars,2002,15621.98837
Estonia,Employment rate,Total,% of working age population,2002,61.325
Greece,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.662967
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2002,11628.29595
Estonia,Gross domestic product (GDP),Total,Million US dollars,2002,16087.747
Estonia,Employment rate,Women,% of working age population,2002,58.275
Greece,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,GDP per hour worked,Total,US dollars,2003,25.08695
Estonia,Employment rate,Total,Thousand persons,2003,602.95
Hungary,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,118.141282
Estonia,Gross domestic product (GDP),Total,Million US dollars,2003,18002.068
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2003,13090.50889
Estonia,Employment rate,Women,% of working age population,2003,59.875
Estonia,GDP per hour worked,Total,2015=100,2003,71.797424
Estonia,Gender wage gap,Self-employed,Percentage,2003,18.58316803
Estonia,Employment rate,Men,% of working age population,2001,64.2
Estonia,Employment rate,Total,% of working age population,2001,61.075
Estonia,Employment rate,Women,Thousand persons,2005,311.275
Estonia,Employment rate,Men,Thousand persons,2005,304.25
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,8.375
Estonia,Average wages,Total,US dollars,2005,19715.3331
Hungary,Exchange rates,Total,National currency units/US dollar,2002,257.886667
Estonia,GDP per hour worked,Total,US dollars,2005,28.378675
Estonia,Employment rate,Total,Thousand persons,2005,615.55
Iceland,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,91.105413
Estonia,Employment rate,Men,% of working age population,2006,71.4
Iceland,Exchange rates,Total,National currency units/US dollar,2002,91.661667
Estonia,GDP per hour worked,Total,US dollars,2006,29.809296
Estonia,Employment rate,Total,Thousand persons,2006,651.7
Estonia,GDP per hour worked,Total,2015=100,2006,85.312512
Estonia,Trust in government,Total,Percentage,2006,44.24676909
Estonia,Gender wage gap,Employees,Percentage,2006,27.85602504
Estonia,Gender wage gap,Self-employed,Percentage,2006,2.404143572
Estonia,Employment rate,Total,% of working age population,2007,69.725
Estonia,Employment rate,Women,Thousand persons,2007,322.725
Estonia,Employment rate,Men,Thousand persons,2007,334.85
Estonia,Gross domestic product (GDP),Total,Million US dollars,2008,30488.762
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2008,22780.0071
Estonia,Employment rate,Women,Thousand persons,2008,321.725
Estonia,Employment rate,Men,Thousand persons,2008,334.275
India,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,9.973858
Estonia,Employment rate,Women,Thousand persons,2021,322.525
Estonia,Employment rate,Men,Thousand persons,2021,331.675
Estonia,Trust in government,Total,Percentage,2021,51.92639922
Estonia,Gender wage gap,Employees,Percentage,2021,20.42962056
Estonia,Average wages,Total,US dollars,2021,37317.82297
Estonia,GDP per hour worked,Total,US dollars,2021,42.911145
Estonia,Employment rate,Total,Thousand persons,2021,654.225
India,Exchange rates,Total,National currency units/US dollar,2002,48.610319
Estonia,Average wages,Total,US dollars,2010,24461
Estonia,Employment rate,Total,% of working age population,2010,61.95
Ireland,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2010,21586.14156
Estonia,Employment rate,Women,% of working age population,2010,62.075
Estonia,Air pollution exposure,Exposure to PM2.5,% of population,2010,17.231
Estonia,Gender wage gap,Self-employed,Percentage,2009,-28.11709785
Estonia,Gross domestic product (GDP),Total,Million US dollars,2009,27327.223
Estonia,Employment rate,Men,% of working age population,2009,64.35
Estonia,Employment rate,Total,% of working age population,2009,64.2
Ireland,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.981997
Estonia,GDP per hour worked,Total,US dollars,2011,32.726987
Estonia,Employment rate,Total,Thousand persons,2011,603.225
Israel,Exchange rates,Total,National currency units/US dollar,2002,4.737825
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2011,24515.48857
Estonia,Employment rate,Women,% of working age population,2011,63.75
Estonia,GDP per hour worked,Total,2015=100,2011,93.662779
Estonia,Gender wage gap,Self-employed,Percentage,2011,-25.50544167
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,7.788
Estonia,GDP per hour worked,Total,2015=100,2012,96.81262
Estonia,Gender wage gap,Self-employed,Percentage,2012,-24.27906418
Estonia,Trust in government,Total,Percentage,2012,27.29759427
Estonia,Average wages,Total,US dollars,2012,24256
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2016,31310.1521
Estonia,Employment rate,Women,% of working age population,2016,69.65
Estonia,Employment rate,Women,Thousand persons,2016,315.25
Estonia,Employment rate,Men,Thousand persons,2016,329.35
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,6.57
Estonia,Gross domestic product (GDP),Total,Million US dollars,2016,41201.029
Estonia,Employment rate,Men,% of working age population,2016,75.2
Estonia,Gross domestic product (GDP),Total,Million US dollars,2014,38050.086
Estonia,Employment rate,Men,% of working age population,2014,73
Israel,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,3.462676
Estonia,GDP per hour worked,Total,US dollars,2014,35.143099
Estonia,Employment rate,Total,Thousand persons,2014,624.825
Estonia,GDP per hour worked,Total,2015=100,2014,100.577555
Estonia,Gender wage gap,Self-employed,Percentage,2014,-25.08417702
Estonia,Employment rate,Total,% of working age population,2015,72.075
Estonia,Employment rate,Women,Thousand persons,2015,312.925
Estonia,Employment rate,Men,Thousand persons,2015,327.95
Estonia,Trust in government,Total,Percentage,2015,33.66897898
Estonia,Employment rate,Women,Thousand persons,2013,306.6
Estonia,Employment rate,Men,Thousand persons,2013,314.725
Estonia,Trust in government,Total,Percentage,2013,26.06375703
Estonia,Average wages,Total,US dollars,2013,24859
Italy,Exchange rates,Total,National currency units/US dollar,2002,1.057559
Estonia,GDP per hour worked,Total,US dollars,2013,34.258793
Estonia,Employment rate,Total,Thousand persons,2013,621.35
Italy,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,0.823489
Estonia,Gender wage gap,Employees,Percentage,2018,22.68115942
Estonia,Average wages,Total,US dollars,2018,31391
Estonia,Employment rate,Total,% of working age population,2018,75.05
Japan,Exchange rates,Total,National currency units/US dollar,2002,125.388019
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2018,36488.63742
Estonia,Employment rate,Women,% of working age population,2018,72.525
Estonia,GDP per hour worked,Total,2015=100,2020,122.892588
Estonia,Gender wage gap,Self-employed,Percentage,2020,-53.28339005
Estonia,Trust in government,Total,Percentage,2020,46.48059768
Estonia,Gender wage gap,Employees,Percentage,2020,19.60168201
Estonia,Average wages,Total,US dollars,2020,35128
Estonia,Gender wage gap,Self-employed,Percentage,2017,1.909476638
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,5.726
Estonia,Gross domestic product (GDP),Total,Million US dollars,2017,44556.482
Estonia,Employment rate,Men,% of working age population,2017,76.575
Estonia,Employment rate,Total,% of working age population,2017,74.5
Japan,Purchasing power parities (PPP),Total,National currency units/US dollar,2002,143.774205
Estonia,GDP per hour worked,Total,US dollars,2019,40.593175
Estonia,Employment rate,Total,Thousand persons,2019,671.35
Korea,Exchange rates,Total,National currency units/US dollar,2002,1251.6025
Estonia,Gross domestic product (GDP),Total,US dollars/capita,2019,39640.13326
Estonia,Employment rate,Women,% of working age population,2019,73.025
Estonia,GDP per hour worked,Total,2015=100,2019,116.175364
Estonia,Gender wage gap,Self-employed,Percentage,2019,-40.53519058
Estonia,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,5.95
Estonia,Gross domestic product (GDP),Total,US dollars/capita,1994,5901.904959
