Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Iceland,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,71.345633
Albania,Gross domestic product (GDP),Total,US dollars/capita,2007,7284.25657
Albania,Gross domestic product (GDP),Total,Million US dollars,2007,21634.366
Iceland,Exchange rates,Total,National currency units/US dollar,1994,69.944378
Albania,Gross domestic product (GDP),Total,US dollars/capita,2006,6566.161519
Albania,Gross domestic product (GDP),Total,Million US dollars,2006,19649.547
Albania,Gross domestic product (GDP),Total,US dollars/capita,2005,5865.314976
Albania,Gross domestic product (GDP),Total,Million US dollars,2005,17663.32
India,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,7.445126
India,Exchange rates,Total,National currency units/US dollar,1994,31.373742
Albania,Gross domestic product (GDP),Total,US dollars/capita,2004,5427.747085
Albania,Gross domestic product (GDP),Total,Million US dollars,2004,16429.459
Ireland,Exchange rates,Total,National currency units/US dollar,1994,0.848983
Ireland,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.794203
Israel,Exchange rates,Total,National currency units/US dollar,1994,3.011055
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,21.456
Albania,Gross domestic product (GDP),Total,US dollars/capita,2012,10526.27735
Albania,Gross domestic product (GDP),Total,Million US dollars,2012,30530.425
Israel,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,2.602139
Italy,Exchange rates,Total,National currency units/US dollar,1994,0.832758
Albania,Gross domestic product (GDP),Total,US dollars/capita,2015,11658.91177
Albania,Gross domestic product (GDP),Total,Million US dollars,2015,33585.862
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.988
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2011,23.314
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2019,18.46
Italy,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.755886
Japan,Exchange rates,Total,National currency units/US dollar,1994,102.207806
Japan,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,178.830028
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2013,99.988
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,19.939
Korea,Exchange rates,Total,National currency units/US dollar,1994,803.771667
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2016,99.988
Korea,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,684.657732
Albania,Air pollution exposure,Exposure to PM2.5,% of population,2014,99.988
Latvia,Exchange rates,Total,National currency units/US dollar,1994,0.796452
Albania,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2014,19.817
Albania,Gross domestic product (GDP),Total,US dollars/capita,2014,11259.21605
Albania,Gross domestic product (GDP),Total,Million US dollars,2014,32529.046
Albania,Gross domestic product (GDP),Total,US dollars/capita,2020,14407.79687
Albania,Gross domestic product (GDP),Total,Million US dollars,2020,40887.152
Albania,Gross domestic product (GDP),Total,US dollars/capita,2013,10571.02166
Albania,Gross domestic product (GDP),Total,Million US dollars,2013,30604.08
Argentina,Gross domestic product (GDP),Total,Million US dollars,2022,1229806.339
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,15.854
Latvia,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.243
Lithuania,Exchange rates,Total,National currency units/US dollar,1994,1.152036
Luxembourg,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.971006
Luxembourg,Exchange rates,Total,National currency units/US dollar,1994,0.829365
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2004,12303.22154
Malta,Exchange rates,Total,National currency units/US dollar,1994,0.880319
Mexico,Exchange rates,Total,National currency units/US dollar,1994,3.375117
Argentina,Gross domestic product (GDP),Total,Million US dollars,2006,588076.13
Mexico,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,2.211403
Morocco,Exchange rates,Total,National currency units/US dollar,1994,9.202715
Morocco,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,4.196213
Netherlands,Exchange rates,Total,National currency units/US dollar,1994,0.825878
Argentina,Gross domestic product (GDP),Total,Million US dollars,2007,658372.467
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2012,19641.35286
Netherlands,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.910114
New Zealand,Exchange rates,Total,National currency units/US dollar,1994,1.686522
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2020,20786.92016
Argentina,Gender wage gap,Employees,Percentage,2020,6.25
New Zealand,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,1.46265
North Macedonia,Exchange rates,Total,National currency units/US dollar,1994,43.263183
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2011,19322.22713
Argentina,Gross domestic product (GDP),Total,US dollars/capita,2019,23007.83659
Norway,Exchange rates,Total,National currency units/US dollar,1994,7.057584
Norway,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,8.990885
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,2014,99.21
Argentina,Gross domestic product (GDP),Total,Million US dollars,2014,839896.688
Argentina,Gross domestic product (GDP),Total,Million US dollars,2015,867176.759
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,14.937
Poland,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.928696
Poland,Exchange rates,Total,National currency units/US dollar,1994,2.272277
Argentina,Air pollution exposure,Exposure to PM2.5,% of population,1995,99.23
Portugal,Exchange rates,Total,National currency units/US dollar,1994,0.827968
Portugal,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.608834
Romania,Exchange rates,Total,National currency units/US dollar,1994,0.165509
Russia,Exchange rates,Total,National currency units/US dollar,1994,2.19075
Argentina,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,14.471
Argentina,Gross domestic product (GDP),Total,Million US dollars,2004,470302.946
Saudi Arabia,Exchange rates,Total,National currency units/US dollar,1994,3.75
Saudi Arabia,Purchasing power parities (PPP),Total,National currency units/US dollar,1994,0.742614
