,Reference area,TIME_PERIOD,Air pollution exposure (Exposure to PM2.5): % of population,Air pollution exposure (Exposure to PM2.5): Micrograms per cubic metre,Average wages (Total): US dollars,Employment rate (Men): % of working age population,Employment rate (Men): Thousand persons,Employment rate (Total): % of working age population,Employment rate (Total): Thousand persons,Employment rate (Women): % of working age population,Employment rate (Women): Thousand persons,Exchange rates (Total): National currency units/US dollar,GDP per hour worked (Total): 2015=100,GDP per hour worked (Total): US dollars,Gender wage gap (Employees): Percentage,Gender wage gap (Self-employed): Percentage,Gross domestic product (GDP) (Total): Million US dollars,Gross domestic product (GDP) (Total): US dollars/capita,Purchasing power parities (PPP) (Total): National currency units/US dollar,Trust in government (Total): Percentage
1025,Luxembourg,2016,57.544,9.933,72999.0,70.525,142.825,65.575,260.475,60.425,117.675,0.903421,101.989921,101.763319,,11.55767822,65980.114,112955.4702,0.851894,67.89778239
1026,Luxembourg,2017,40.67,9.855,73918.0,69.925,146.125,66.275,271.825,62.55,125.7,0.885206,100.480067,100.25682,,15.52267265,68570.173,114862.5288,0.84831,73.89220662
1027,Luxembourg,2018,68.557,10.154,74261.0,70.65,150.375,67.1,279.9,63.375,129.5,0.846773,98.797902,98.578393,,19.16322136,70825.278,116334.7247,0.848866,75.52008445
1028,Luxembourg,2019,68.557,10.089,74399.0,72.075,156.675,67.95,289.1,63.65,132.45,0.893276,98.604148,98.385068,,20.37896538,75270.516,121111.0477,0.829429,78.01710079
1029,Luxembourg,2020,,,74839.0,70.425,156.35,67.25,292.375,63.95,136.025,0.875506,101.794205,101.568038,,22.29501343,76983.168,121984.8395,0.838161,
1030,Luxembourg,2021,,,79018.90253,72.6,164.275,69.375,306.825,66.0,142.55,0.845494,101.767374,101.541267,,,88295.231,137737.9055,0.819533,
1031,Luxembourg,2022,,,78310.14512,73.025,166.425,70.125,312.0,67.1,145.625,0.949624,100.3931,100.170046,,,95651.858,145972.0846,0.810533,
1045,Malta,1994,,,,,,,,,,0.880319,,,,,,,,
1046,Malta,1995,95.754,16.165,,,,,,,,0.822406,,,,,5280.675,13978.02735,0.579406,
1047,Malta,1996,,,,,,,,,,0.839636,,,,,5569.901,14657.71037,0.576257,
1048,Malta,1997,,,,,,,,,,0.899059,,,,,5929.922,15491.43971,0.575161,
1049,Malta,1998,,,,,,,,,,0.904867,,,,,6249.673,16221.58156,0.580697,
1050,Malta,1999,,,,,,,,,,0.929183,,,,,6564.667,16941.77592,0.583359,
1051,Malta,2000,100.0,16.083,,,,,,,,1.020615,,,,,7161.621,18364.92073,0.579945,
1052,Malta,2001,,,,,,,,,,1.048315,,,,,7276.595,18511.03419,0.588989,
1053,Malta,2002,,,,,,,,,,1.010064,,,13.55573327,,7911.37,19981.58688,0.570773,
1054,Malta,2003,,,,,,,,,,0.878717,,,,,8342.574,20931.4227,0.573866,
1055,Malta,2004,,,,,,,,,,0.802849,,,,,8645.521,21551.30407,0.566253,
1056,Malta,2005,100.0,15.378,,,,,,,,0.805445,,,,,9008.194,22308.71913,0.572729,
1057,Malta,2006,,,,,,,,,,0.794069,,,7.440719542,,9451.586,23322.79516,0.57165,
1058,Malta,2007,,,,,,,,,,0.726007,,,,,10193.443,25061.4479,0.568039,
1059,Malta,2008,,,,,,,,,,0.679923,,,,,10858.194,26523.83302,0.571552,
1060,Malta,2009,,,,,,,,,,0.716958,,,,,10992.484,26651.54629,0.569448,
1061,Malta,2010,100.0,17.657,,,,,,,,0.754309,,,7.067879636,,11905.21,28723.93643,0.572506,
1062,Malta,2011,100.0,16.27,,,,,,,,0.718414,,,,,12060.621,28972.93253,0.574149,
1063,Malta,2012,100.0,14.176,,,,,,,,0.778338,,,,,12703.294,30241.47428,0.579728,
1064,Malta,2013,100.0,13.399,,,,,,,,0.752945,,,,,13757.032,32287.97002,0.577475,
1065,Malta,2014,100.0,13.842,,,,,,,,0.752728,,,8.989460632,,14924.391,34318.33368,0.586362,
1066,Malta,2015,100.0,13.572,,,,,,,,0.901296,,,,,16669.553,37430.65062,0.599699,
1067,Malta,2016,99.901,12.919,,,,,,,,0.903421,,,,,18080.358,39678.5364,0.583016,
1068,Malta,2017,99.901,12.57,,,,,,,,0.885206,,,,,20354.952,43447.53276,0.586422,
1069,Malta,2018,99.901,13.111,,,,,,,,0.846773,,,11.09375,,22118.234,45583.08388,0.586719,
1070,Malta,2019,99.901,13.065,,,,,,,,0.893276,,,,,25173.863,49875.30738,0.563537,
1071,Malta,2020,,,,,,,,,,0.875506,,,,,23641.141,45827.08784,0.557541,
1072,Malta,2021,,,,,,,,,,0.845494,,,,,27174.379,52391.41439,0.552415,
1073,Malta,2022,,,,,,,,,,0.949624,,,,,30571.48,57607.69037,0.553542,
1074,Mexico,1994,,,18396.50393,,22319.0,,32439.0,,10120.0,3.375117,99.587297,19.759341,,,844950.715,9080.121594,2.211403,
1075,Mexico,1995,99.894,32.71,15150.0,,21778.4,,32174.89,,10396.48,6.419425,93.434996,18.538649,,,811682.194,8590.138576,3.006586,
1076,Mexico,1996,,,14273.17819,,22558.98,,33495.83,,10936.85,7.599448,94.49108,18.748189,,,877940.788,9156.948879,3.740756,
1077,Mexico,1997,,,14980.22743,,23515.81,,35425.19,,11909.37,7.91846,93.397668,18.531243,,,957371.743,9848.996893,4.329472,
1078,Mexico,1998,,,15803.68493,,24135.94,,36356.97,,12221.04,9.136042,98.898734,19.622722,,,1028028.103,10438.42314,4.954133,
1079,Mexico,1999,,,16447.90901,,24460.09,,36774.94,,12314.85,9.560398,97.141225,19.27401,,,1071236.888,10743.95611,5.63367,
1080,Mexico,2000,99.908,30.248,17310.58041,,24707.18,,37594.3,,12887.11,9.455558,102.857472,20.408184,,,1154351.117,11440.99981,6.078397,
1081,Mexico,2001,,,18313.16021,,24788.6,,37684.47,,12895.87,9.342342,103.554419,20.546467,,,1175035.914,11506.19762,6.32926,
1082,Mexico,2002,,,18241.33517,,25157.66,,38559.82,,13402.15,9.655958,98.829358,19.608957,,,1194403.411,11549.27973,6.553697,
1083,Mexico,2003,,,18561.5381,,25464.92,,38877.61,,13412.68,10.789019,101.920908,20.222358,,,1242555.251,11865.50087,6.647216,
1084,Mexico,2004,,,18650.07916,,25886.59,,40216.1,,14329.52,11.285967,103.322933,20.500537,,,1321401.671,12471.70107,6.998924,
1085,Mexico,2005,99.594,23.122,18777.90976,80.73704,26687.19,60.05342,42079.14,41.84049,15391.95,10.897892,96.03005,20.034146,16.66666667,,1403085.871,13093.88834,7.126862,
1086,Mexico,2006,,,18746.0,81.26635,27238.12,60.96249,43378.46,43.12868,16140.34,10.899242,98.191904,20.48516,18.60465116,,1559647.572,14385.6956,7.12989,42.63591977
1087,Mexico,2007,,,18818.0,80.83261,27631.04,61.00108,44231.25,43.56637,16600.21,10.928192,99.125014,20.679829,12.5,,1635081.229,14892.04111,7.367679,41.81466001
1088,Mexico,2008,,,18656.0,80.15515,28140.69,60.66586,44943.53,43.34003,16802.84,11.129717,98.332244,20.514438,22.22222222,,1730732.457,15549.54143,7.469532,41.35532045
1089,Mexico,2009,,,18806.0,78.074,28326.77,59.784,45435.35,43.29262,17108.58,13.513475,91.50091,19.08926,16.66666667,,1701569.771,15078.25944,7.492563,44.61378474
1090,Mexico,2010,99.571,21.484,17618.0,77.84161,28807.49,59.66136,46121.62,43.18693,17314.13,12.636008,94.640721,19.744299,11.62790698,,1807626.79,15815.91464,7.727342,37.19862812
1091,Mexico,2011,99.654,24.59,17777.0,77.92185,29385.69,60.02428,47138.89,43.70332,17753.2,12.423325,96.113472,20.05155,10.0,,1989887.996,17200.93766,7.673013,38.34464088
1092,Mexico,2012,99.545,22.704,17457.0,78.51231,30123.23,60.90891,48706.73,44.86357,18583.5,13.169458,98.45457,20.539959,13.55555556,,2103287.677,18287.36265,7.858708,36.14087848
1093,Mexico,2013,99.568,23.508,17470.0,78.25211,30398.12,60.8422,49227.31,44.9596,18829.19,12.771992,97.909337,20.42621,15.43340381,,2150334.151,18481.03064,7.884359,39.55713579
1094,Mexico,2014,99.521,21.961,17503.0,78.10523,30736.59,60.40805,49415.41,44.23228,18678.82,13.29245,100.001084,20.862598,18.3,,2254435.514,19153.91849,8.045318,32.75820426
1095,Mexico,2015,99.484,22.042,17730.0,78.34047,31383.7,60.74515,50611.33,44.67471,19227.63,15.848267,100.0,20.862372,16.66666667,,2309023.86,19395.33318,8.327595,25.6193175
1096,Mexico,2016,99.483,21.213,17522.0,78.56933,31899.19,61.04717,51594.75,45.0612,19695.56,18.664058,99.491469,20.75628,16.49224806,,2457812.63,20410.4249,8.446043,27.79440712
1097,Mexico,2017,99.483,20.365,17475.0,78.98473,31996.89,61.19406,51680.28,45.01679,19683.39,18.926517,99.811341,20.823013,11.11111111,,2528308.492,20756.35118,8.913552,25.69531632
1098,Mexico,2018,99.483,20.361,17865.0,79.08022,32791.41,61.59449,53161.79,45.65526,20370.38,19.244342,98.932128,20.639588,14.0,,2606266.038,21131.36548,9.276363,29.45684937
1099,Mexico,2019,99.483,20.108,18031.0,78.90898,33265.95,62.26349,54614.55,47.05855,21348.6,19.263633,96.489951,20.130092,,,2638763.901,21116.85357,9.528366,49.52311595
1100,Mexico,2020,,,17467.0,,31107.04,,50927.07,,19820.04,21.485608,95.378164,19.898147,,,2454130.182,19418.14888,9.81275,45.9497859
1101,Mexico,2021,,,17637.05555,77.27067,33634.66,61.03192,55165.86,46.17591,21531.21,20.272408,92.81088,19.362551,12.5,,2677757.654,20983.05954,9.940812,48.3326115
1102,Mexico,2022,,,16685.37147,78.66234,34463.57,62.53553,57322.4,48.00699,22858.82,20.12735,92.42797,19.282667,16.66666667,,3041488.002,23654.05524,9.683692,52.88164551
1171,Netherlands,1994,,,60622.78581,,3976.8,,6706.5,,2729.6,0.825878,80.570946,54.653657,,,344049.024,22369.41244,0.910114,
1172,Netherlands,1995,99.745,18.409,59444.0,,4023.6,,6781.6,,2758.0,0.728624,79.357767,53.830722,,,362208.681,23430.27889,0.909826,
1173,Netherlands,1996,,,59246.87358,,4085.5,,6931.8,,2846.2,0.765027,79.651125,54.029715,,,380605.309,24507.7469,0.905466,
1174,Netherlands,1997,,,59431.66008,,4213.8,,7186.0,,2972.3,0.885448,81.409842,55.222705,,,406067.951,26011.6553,0.908828,
1175,Netherlands,1998,,,57528.89823,,4319.9,,7402.0,,3082.1,0.900179,83.408853,56.578693,,,435227.403,27709.13625,0.905952,
1176,Netherlands,1999,,,58627.73422,,4374.0,,7604.6,,3230.6,0.938283,85.249784,57.827451,,,462796.455,29268.68549,0.906357,
1177,Netherlands,2000,99.981,16.793,60062.64011,82.1,4495.075,72.95,7869.8,63.475,3374.725,1.082705,88.005142,59.696492,,,507623.549,31873.88853,0.890437,
1178,Netherlands,2001,,,60953.86245,82.75,4572.975,74.125,8067.9,65.275,3494.925,1.116533,88.894109,60.299505,,,532572.421,33190.35401,0.904818,
1179,Netherlands,2002,,,61142.92627,82.45,4592.675,74.4,8167.425,66.175,3574.75,1.057559,89.542943,60.739628,15.64,,556285.465,34447.05337,0.900863,
1180,Netherlands,2003,,,61574.39577,81.075,4535.7,73.65,8121.125,66.05,3585.375,0.884048,90.725272,61.541637,,,554118.601,34152.14801,0.925452,
1181,Netherlands,2004,,,62542.96507,80.25,4513.075,73.125,8105.475,65.825,3592.375,0.803922,92.289979,62.603024,,37.01441956,583063.536,35810.31424,0.907767,
1182,Netherlands,2005,99.981,15.3,62542.65198,78.1,4385.25,70.625,7831.4,63.0,3446.2,0.8038,94.493797,64.097939,,38.55966187,614044.12,37625.25244,0.897139,
1183,Netherlands,2006,,,62407.0,78.775,4433.875,71.575,7956.45,64.225,3522.625,0.796433,95.899245,65.051296,15.98246313,42.26967621,670411.391,41013.78877,0.871921,42.90065383
1184,Netherlands,2007,,,63276.0,80.4,4531.25,73.45,8186.55,66.45,3655.25,0.729672,96.756054,65.632495,,44.1686821,719961.538,43948.32977,0.860004,66.19460277
1185,Netherlands,2008,,,63660.0,81.675,4612.225,74.925,8377.875,68.15,3765.6,0.679923,97.311535,66.009294,,41.46989441,763407.575,46419.04259,0.847775,61.74288452
1186,Netherlands,2009,,,66337.0,81.975,4583.45,76.175,8383.4,70.3,3799.925,0.716958,95.116484,64.520326,,35.05298615,736521.818,44556.67382,0.848369,
1187,Netherlands,2010,99.978,15.71,66270.0,80.725,4501.0,75.45,8289.675,70.125,3788.675,0.754309,97.080729,65.852731,17.88914703,30.31409645,748292.706,45037.17763,0.854194,63.6186314
1188,Netherlands,2011,99.981,15.51,65977.0,80.575,4475.425,75.7,8291.375,70.75,3816.0,0.718414,97.702861,66.274742,,27.78574181,777880.907,46599.22766,0.836065,60.33667795
1189,Netherlands,2012,99.945,13.819,66198.0,80.5,4500.575,75.9,8345.05,71.225,3844.475,0.778338,97.557434,66.176095,,26.04763031,792041.828,47271.96823,0.824408,57.45139312
1190,Netherlands,2013,99.795,12.734,66395.0,79.4,4458.675,75.1,8285.1,70.75,3826.425,0.752945,98.298779,66.678971,,22.18449974,827475.788,49242.78671,0.798166,54.2986902
1191,Netherlands,2014,99.702,12.192,66039.0,79.35,4459.425,74.65,8235.75,69.9,3776.35,0.752728,99.026646,67.172705,15.30483972,24.55051041,830318.43,49233.23035,0.808798,52.52422825
1192,Netherlands,2015,99.628,12.651,66841.0,80.25,4481.925,75.65,8318.1,71.05,3836.125,0.901296,100.0,67.832959,,28.814785,851884.697,50288.35282,0.809978,57.96210315
1193,Netherlands,2016,94.664,11.523,67112.0,80.8,4536.275,76.375,8426.9,71.9,3890.625,0.903421,99.844061,67.727181,,32.02464676,890488.555,52289.40429,0.795448,57.22733418
1194,Netherlands,2017,99.583,12.423,66634.0,81.625,4617.175,77.375,8604.525,73.1,3987.35,0.885206,100.387115,68.095551,,30.72612,943739.619,55089.58143,0.78215,66.95536283
1195,Netherlands,2018,99.065,12.073,65910.0,82.825,4703.65,78.7,8796.925,74.6,4093.3,0.846773,100.064801,67.876916,12.65709156,28.28568649,996447.288,57825.39971,0.776747,65.6541049
1196,Netherlands,2019,98.598,12.033,65449.0,83.45,4784.2,79.7,8981.925,75.875,4197.7,0.893276,99.395132,67.422659,13.39802965,25.98847771,1059591.145,61089.14068,0.767329,61.65722396
1197,Netherlands,2020,,,67163.0,82.85,4776.8,79.3,8980.975,75.7,4204.15,0.875506,99.539756,67.520762,13.32908458,25.22874069,1065126.172,61066.74532,0.747827,78.0745963
1198,Netherlands,2021,,,66221.4846,83.65,4910.225,80.15,9282.175,76.575,4371.95,0.845494,102.30501,69.396516,13.23082544,,1186871.833,67693.59681,0.733514,58.47387883
1199,Netherlands,2022,,,63224.9896,85.425,5075.475,81.775,9586.95,78.05,4511.5,0.949624,102.692374,69.659276,14.75926183,,1319467.684,74533.564,0.726466,47.23477016
1229,North Macedonia,1994,,,,,,,,,,43.263183,,,,,,,,
1230,North Macedonia,1995,100.0,46.629,,,,,,,,37.881758,,,,,,,,
1231,North Macedonia,1996,,,,,,,,,,39.981075,,,,,,,,
1232,North Macedonia,1997,,,,,,,,,,50.00355,,,,,,,18.747019,
1233,North Macedonia,1998,,,,,,,,,,54.461733,,,,,,,18.751112,
1234,North Macedonia,1999,,,,,,,,,,56.901828,,,,,,,19.039256,
1235,North Macedonia,2000,100.0,45.191,,,,,,,,65.903867,,,,,12468.131,6152.99966,19.942552,
1236,North Macedonia,2001,,,,,,,,,,68.037133,,,,,12313.258,6051.092105,20.497699,
1237,North Macedonia,2002,,,,,,,,,,64.349792,,,,,13169.703,6519.14807,19.6345,
1238,North Macedonia,2003,,,,,,,,,,54.322258,,,,,13368.253,6595.831505,20.099376,
1239,North Macedonia,2004,,,,,,,,,,49.409933,,,,,14577.492,7172.042541,19.261615,
1240,North Macedonia,2005,100.0,40.22,,,,,,,,49.283683,,,,,15987.118,7848.92282,19.293497,
1241,North Macedonia,2006,,,,,,,,,,48.801767,,,,,17728.933,8689.682197,18.886633,
1242,North Macedonia,2007,,,,,,,,,,44.729817,,,,,19111.517,9352.075151,19.511231,
1243,North Macedonia,2008,,,,,,,,,,41.867683,,,,,21537.292,10521.91737,19.263802,
1244,North Macedonia,2009,,,,,,,,,,44.100575,,,,,22578.166,11010.13569,18.363843,
1245,North Macedonia,2010,100.0,38.954,,,,,,,,46.485392,,,,,23345.805,11360.46699,18.731224,
1246,North Macedonia,2011,100.0,44.741,,,,,,,,44.230825,,,,,24064.15,11689.9169,19.289538,
1247,North Macedonia,2012,100.0,40.052,,,,,,,,47.89025,,,,,24558.795,11915.70643,19.003511,
1248,North Macedonia,2013,100.0,36.795,,,,,,,,46.395342,,,,,26269.815,12727.42605,19.105236,
1249,North Macedonia,2014,100.0,37.729,,,,,,,,46.437131,,,,,27775.93,13434.73752,18.995965,
1250,North Macedonia,2015,100.0,35.286,,,,,,,,55.537075,,,,,28751.905,13888.29304,19.440576,
1251,North Macedonia,2016,100.0,33.01,,,,,,,,55.731725,,,,,31373.423,15138.03354,18.958558,
1252,North Macedonia,2017,100.0,33.992,,,,,,,,54.665458,,,,,32583.123,15706.47922,18.970118,
1253,North Macedonia,2018,100.0,33.365,,,,,,,,52.107108,,,,,34872.884,16796.35823,18.951062,
1254,North Macedonia,2019,100.0,32.668,,,,,,,,54.9472,,,,,37942.861,18270.79994,18.255948,
1255,North Macedonia,2020,,,,,,,,,,54.144325,,,,,37052.566,17877.93076,18.062991,
1256,North Macedonia,2021,,,,,,,,,,52.102158,,,,,40592.305,,17.747543,
1257,North Macedonia,2022,,,,,,,,,,58.574392,,,,,43837.913,,18.130384,
1258,Norway,1994,,,31772.73985,,1071.0,,2003.0,,931.0,7.057584,78.705095,64.158093,,,99794.624,23010.05858,8.990885,
1259,Norway,1995,50.974,10.175,32069.0,,1095.0,,2047.0,,952.0,6.335157,81.162077,66.160953,,,106121.285,24345.32803,9.075823,
1260,Norway,1996,,,33026.39212,,1127.0,,2104.0,,977.0,6.449808,83.793988,68.30641,,,117491.285,26818.37147,8.976598,
1261,Norway,1997,,,33755.75724,,1157.0,,2166.0,,1009.0,7.073401,85.949618,70.063617,9.318996416,,126002.326,28604.38738,9.058087,
1262,Norway,1998,,,34997.51791,,1183.0,,2219.0,,1037.0,7.545097,86.053094,70.147967,8.8878327,,124960.331,28201.38375,9.312419,
1263,Norway,1999,,,36126.39013,,1184.0,,2233.0,,1050.0,7.799172,87.106791,71.00691,9.215955984,,136417.339,30573.13734,9.283739,
1264,Norway,2000,52.464,10.138,36444.19663,81.3,1198.025,77.5,2255.025,73.65,1056.975,8.801842,90.534798,73.801321,9.225413403,,166105.12,36986.22133,9.085403,
1265,Norway,2001,,,37463.26673,80.7,1201.75,77.175,2265.3,73.575,1063.525,8.991654,93.890821,76.537053,9.787588505,,170770.902,37831.39158,9.174326,
1266,Norway,2002,,,38854.50269,79.9,1199.625,76.825,2275.525,73.675,1075.875,7.983779,95.91104,78.183876,9.690074539,,172705.278,38057.57549,9.05673,
1267,Norway,2003,,,39367.26451,78.325,1186.85,75.5,2257.625,72.55,1070.775,7.080217,99.025267,80.722504,9.329779132,32.32258987,176590.092,38683.48135,9.196977,
1268,Norway,2004,,,40693.2868,77.925,1192.125,75.125,2266.5,72.25,1074.375,6.740833,101.074629,82.393083,8.449669361,32.48556519,195950.283,42672.09998,9.125391,
1269,Norway,2005,16.559,8.229,41868.85419,77.85,1204.4,74.825,2282.625,71.75,1078.25,6.4425,102.190857,83.303,8.624376336,30.87851143,221764.78,47969.88536,9.005204,
1270,Norway,2006,,,43540.0,78.425,1242.75,75.375,2352.975,72.25,1110.25,6.413333,101.519448,82.755687,8.210742388,27.91967011,253397.182,54365.41129,8.780173,68.27172215
1271,Norway,2007,,,45473.0,79.525,1281.45,76.825,2434.15,73.975,1152.7,5.861667,99.692935,81.266766,8.789439794,26.36008072,264566.361,56183.13032,8.920915,
1272,Norway,2008,,,46429.0,80.475,1323.05,77.95,2513.7,75.375,1190.625,5.64,96.742409,78.861584,8.757575758,28.09613609,295976.05,62075.51376,8.859281,54.07600064
1273,Norway,2009,,,46915.0,78.325,1309.25,76.425,2499.475,74.4,1190.175,6.288333,96.664018,78.797682,8.284371328,28.1039505,268567.128,55615.47492,9.084179,
1274,Norway,2010,20.056,8.174,47531.0,77.25,1314.75,75.3,2500.775,73.25,1186.025,6.044167,97.157823,79.200218,7.236095346,26.65661621,284650.377,58222.61756,9.152811,
1275,Norway,2011,30.622,9.14,49201.0,77.125,1331.775,75.3,2535.525,73.375,1203.75,5.604607,96.512861,78.674464,7.144812483,25.35111427,309370.337,62461.20278,9.082736,
1276,Norway,2012,6.3,7.62,50542.0,77.65,1362.25,75.75,2585.425,73.75,1223.175,5.8175,97.353585,79.359797,5.792118487,18.67658234,330093.373,65768.75327,9.037085,66.33405052
1277,Norway,2013,5.232,7.345,51576.0,77.275,1371.1,75.425,2601.6,73.475,1230.45,5.875,97.954381,79.849548,6.597045339,18.54119492,342254.475,67372.92818,9.029349,
1278,Norway,2014,5.232,7.497,51809.0,77.0,1383.65,75.225,2626.6,73.35,1242.95,6.301667,98.738413,80.488668,5.8006941,17.39384079,340765.256,66335.45965,9.278458,69.96905072
1279,Norway,2015,0.753,7.066,52068.0,76.525,1394.725,74.8,2641.0,72.95,1246.275,8.064167,100.0,81.517077,6.957773513,20.16245461,315145.02,60721.58381,9.932516,58.68716166
1280,Norway,2016,0.753,6.639,51226.0,75.7,1387.425,74.3,2638.175,72.825,1250.725,8.4,100.669968,82.063215,6.306306306,14.58640862,310303.322,59263.43047,10.0419,65.76462602
1281,Norway,2017,0.753,6.689,51096.0,75.575,1391.775,74.0,2643.875,72.4,1252.1,8.271667,102.753489,83.761641,5.49476135,12.18875027,340837.014,64589.16317,9.74983,71.71597754
1282,Norway,2018,0.753,6.726,51340.0,76.9,1420.625,74.8,2685.875,72.65,1265.225,8.1325,101.958227,83.113366,5.129369042,14.96143723,373182.531,70252.73545,9.583999,67.95029833
1283,Norway,2019,0.753,6.668,52273.0,77.4,1436.3,75.3,2715.55,73.075,1279.25,8.8,101.566262,82.793848,4.36786655,18.98992729,379377.628,70938.2251,9.481152,59.79870063
1284,Norway,2020,,,52415.0,76.575,1430.125,74.65,2701.975,72.65,1271.875,9.415833,102.484362,83.542256,4.813863928,,361020.392,67116.63736,9.588309,82.92342108
1285,Norway,2021,,,53813.20716,78.175,1480.85,76.3,2797.675,74.325,1316.775,8.59,103.995967,84.774473,4.601479047,,469940.386,86897.26064,8.96203,77.35231978
1286,Norway,2022,,,53755.94037,79.975,1513.0,77.725,2859.175,75.4,1346.2,9.614167,103.376935,84.269856,4.481459449,,661729.786,121262.5593,8.418336,63.6077672
1300,Poland,1994,,,,,8008.0,,14658.0,,6653.0,2.272277,43.750633,15.260127,18.85394398,,271454.13,7096.376235,0.928696,
1301,Poland,1995,99.994,32.434,18619.0,,8095.0,,14791.0,,6697.0,2.424983,47.258978,16.48383,20.10461352,,296413.064,7744.299519,1.164119,
1302,Poland,1996,,,20106.33276,,8212.7,,14968.5,,6754.8,2.6961,49.186145,17.156022,20.46569513,,319623.854,8347.667846,1.351266,
1303,Poland,1997,,,21137.09635,,8401.7,,15176.75,,6784.1,3.279292,51.767954,18.056551,18.56877152,,345333.758,9018.430963,1.513266,
1304,Poland,1998,,,21767.8813,,8470.1,,,,6883.8,3.4754,54.202662,18.905772,19.1076226,,366826.956,9581.730131,1.655012,
1305,Poland,1999,,,23660.29967,,8132.0,,,,6625.0,3.967108,59.075557,20.605428,17.55932069,,388183.91,10143.29528,1.737656,
1306,Poland,2000,99.995,27.979,23769.612,61.225,8003.775,54.975,14525.53,48.925,6521.75,4.346075,63.769914,22.242809,,,408352.628,10674.21131,1.832933,
1307,Poland,2001,,,25120.04182,59.15,7796.1,53.35,14205.6,47.7,6409.5,4.0939,65.973201,23.011311,14.29974246,,425433.446,11122.15225,1.837063,
1308,Poland,2002,,,25032.10848,56.9,7528.675,51.475,13781.55,46.25,6252.85,4.080033,69.585842,24.271393,11.31595541,,451281.404,11803.76136,1.799795,
1309,Poland,2003,,,25339.5485,56.475,7431.75,51.2,13616.22,46.0,6184.45,3.889075,72.669024,25.3468,,,469501.377,12292.22089,1.804365,
1310,Poland,2004,,,24784.94194,57.175,7564.2,51.65,13793.2,46.225,6228.975,3.657642,75.422037,26.307045,10.63884891,53.69146347,509887.661,13354.83659,1.829993,
1311,Poland,2005,99.995,26.998,24682.38028,58.85,7809.075,52.775,14115.45,46.8,6306.35,3.235483,76.620798,26.72517,,54.65535736,530377.339,13898.41301,1.867595,
1312,Poland,2006,,,24848.0,60.875,8080.45,54.45,14593.4,48.2,6512.95,3.103158,78.754908,27.469543,11.44042048,53.150177,577925.805,15155.92692,1.850464,6.876873765
1313,Poland,2007,,,25664.0,63.65,8402.8,57.025,15240.38,50.575,6837.525,2.76795,80.804122,28.184305,,56.82787323,640678.922,16808.66099,1.853515,18.78834774
1314,Poland,2008,,,27011.0,66.3,8717.225,59.225,15799.42,52.375,7082.2,2.409242,81.429216,28.402336,12.99382224,58.06636429,697829.214,18308.03899,1.842243,28.451151
1315,Poland,2009,,,26997.0,63.625,8721.575,57.175,15868.0,50.95,7146.45,3.120142,84.064151,29.321396,,61.63500977,734012.746,19073.68827,1.869211,31.19958806
1316,Poland,2010,99.995,27.365,28091.0,62.95,8565.575,56.975,15472.83,51.075,6907.2,3.0153,89.116174,31.083531,7.190207044,61.63191986,794607.804,20630.05436,1.805127,35.56062368
1317,Poland,2011,99.995,27.158,28247.0,63.675,8648.025,57.45,15562.0,51.3,6914.0,2.962848,93.31956,32.549662,,61.92814255,862451.786,22386.22712,1.801424,27.23761715
1318,Poland,2012,99.995,24.682,27972.0,64.15,8651.0,58.0,15590.58,51.925,6939.575,3.256542,94.895242,33.099257,10.62015527,61.23438263,897877.763,23300.92291,1.796168,26.86287528
1319,Poland,2013,99.994,23.776,28274.0,64.675,8641.15,58.425,15568.03,52.175,6926.9,3.160617,95.948364,33.466584,,60.21186829,925133.245,24028.18672,1.762045,16.35881353
1320,Poland,2014,99.995,24.017,28919.0,66.45,8777.725,60.2,15861.53,54.0,7083.775,3.154542,97.622509,34.050522,11.07286288,58.68841553,962317.654,25005.65569,1.767142,25.25228452
1321,Poland,2015,99.994,22.865,29635.0,67.575,8866.4,61.6,16083.22,55.625,7216.825,3.7695,100.0,34.879786,,57.08498001,1018896.563,26495.81492,1.765116,21.14279173
1322,Poland,2016,99.986,21.916,31199.0,69.625,8932.425,63.45,16196.1,57.35,7263.625,3.942783,102.001142,35.57778,9.417880936,53.31880951,1069459.06,27830.92774,1.732843,38.27131909
1323,Poland,2017,99.985,22.89,32475.0,71.65,9065.175,65.25,16422.2,58.9,7357.05,3.779333,106.982369,37.315221,,50.21768951,1137654.148,29609.44637,1.742879,50.2480449
1324,Poland,2018,99.989,22.865,34546.0,72.975,9077.125,66.675,16484.05,60.35,7406.925,3.611717,114.261674,39.854227,11.49790995,49.39813232,1216240.494,31662.21054,1.748426,42.75177053
1325,Poland,2019,99.988,22.766,36667.0,74.35,9114.375,67.525,16460.53,60.725,7346.15,3.839375,119.703575,41.752351,,49.73167801,1347315.628,35099.14103,1.698557,49.79860284
1326,Poland,2020,,,37325.0,74.725,9112.15,67.8,16441.4,60.95,7329.3,3.899742,118.207222,41.230426,8.690614137,,1376573.447,35891.26159,1.698182,27.31166103
1327,Poland,2021,,,37126.69346,76.775,9117.45,70.3,16656.13,63.8,7538.65,3.861917,119.27761,41.603775,,,1527352.009,40022.8502,1.722787,25.92516514
1328,Poland,2022,,,36896.55924,77.275,9107.85,71.35,16742.32,65.4,7634.475,4.457758,125.952025,43.931796,,,1716254.587,45371.15253,1.787319,34.16071519
1329,Portugal,1994,,,,,2437.2,,4408.9,,1971.7,0.827968,78.307779,30.361154,,,135574.207,13560.40398,0.608834,
